city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,2
sj,2008,20,31
sj,2008,21,8
sj,2008,22,6
sj,2008,23,5
sj,2008,24,12
sj,2008,25,17
sj,2008,26,12
sj,2008,27,25
sj,2008,28,13
sj,2008,29,23
sj,2008,30,11
sj,2008,31,14
sj,2008,32,25
sj,2008,33,43
sj,2008,34,26
sj,2008,35,63
sj,2008,36,83
sj,2008,37,26
sj,2008,38,24
sj,2008,39,43
sj,2008,40,40
sj,2008,41,23
sj,2008,42,40
sj,2008,43,24
sj,2008,44,27
sj,2008,45,31
sj,2008,46,23
sj,2008,47,27
sj,2008,48,29
sj,2008,49,15
sj,2008,50,14
sj,2008,51,19
sj,2008,52,10
sj,2009,1,31
sj,2009,2,9
sj,2009,3,11
sj,2009,4,13
sj,2009,5,12
sj,2009,6,9
sj,2009,7,11
sj,2009,8,9
sj,2009,9,11
sj,2009,10,3
sj,2009,11,4
sj,2009,12,5
sj,2009,13,4
sj,2009,14,4
sj,2009,15,2
sj,2009,16,3
sj,2009,17,5
sj,2009,18,4
sj,2009,19,2
sj,2009,20,3
sj,2009,21,2
sj,2009,22,10
sj,2009,23,4
sj,2009,24,9
sj,2009,25,12
sj,2009,26,10
sj,2009,27,26
sj,2009,28,29
sj,2009,29,22
sj,2009,30,13
sj,2009,31,37
sj,2009,32,30
sj,2009,33,51
sj,2009,34,30
sj,2009,35,55
sj,2009,36,116
sj,2009,37,31
sj,2009,38,29
sj,2009,39,30
sj,2009,40,53
sj,2009,41,66
sj,2009,42,52
sj,2009,43,17
sj,2009,44,27
sj,2009,45,17
sj,2009,46,21
sj,2009,47,24
sj,2009,48,20
sj,2009,49,13
sj,2009,50,10
sj,2009,51,9
sj,2009,52,12
sj,2010,53,33
sj,2010,1,10
sj,2010,2,11
sj,2010,3,10
sj,2010,4,11
sj,2010,5,8
sj,2010,6,12
sj,2010,7,13
sj,2010,8,16
sj,2010,9,13
sj,2010,10,5
sj,2010,11,5
sj,2010,12,12
sj,2010,13,7
sj,2010,14,5
sj,2010,15,3
sj,2010,16,4
sj,2010,17,10
sj,2010,18,13
sj,2010,19,8
sj,2010,20,9
sj,2010,21,16
sj,2010,22,21
sj,2010,23,30
sj,2010,24,45
sj,2010,25,20
